Date,Length of Night (hr),Time Lost (hr),% Time Lost,Total Losses (days),% Total Loss
06-07,10.7,48.0,0.2,1,0.05
06-08,10.7,25.6,0.11,0,0.0
06-09,10.7,6.3,0.03,1,0.05
06-10,10.7,25.6,0.11,4,0.18
06-11,10.7,36.8,0.16,1,0.05
06-12,10.7,25.6,0.11,1,0.05
06-13,10.7,25.6,0.11,0,0.0
06-14,10.7,25.6,0.11,2,0.09
06-15,10.7,59.2,0.25,0,0.0
06-16,10.7,59.2,0.25,0,0.0
06-17,10.7,25.6,0.11,1,0.05
06-18,10.7,14.4,0.06,0,0.0
06-19,10.7,48.0,0.2,1,0.05
06-20,10.7,25.6,0.11,5,0.23
06-21,10.7,92.8,0.39,2,0.09
06-22,10.7,59.2,0.25,2,0.09
06-23,10.7,48.0,0.2,1,0.05
06-24,10.7,14.4,0.06,0,0.0
06-25,10.7,14.4,0.06,1,0.05
06-26,10.7,14.4,0.06,1,0.05
06-27,10.7,36.8,0.16,2,0.09
06-28,10.7,36.8,0.16,0,0.0
06-29,10.7,25.6,0.11,2,0.09
06-30,10.7,14.4,0.06,2,0.09
07-01,10.7,36.8,0.16,1,0.05
07-02,10.7,14.4,0.06,3,0.14
07-03,10.7,36.8,0.16,2,0.09
07-04,10.7,14.4,0.06,0,0.0
07-05,10.7,8.1,0.03,1,0.05
07-06,10.7,14.4,0.06,2,0.09
07-07,10.7,14.4,0.06,1,0.05
07-08,10.8,8.1,0.03,0,0.0
07-09,10.8,8.1,0.03,1,0.05
07-10,10.8,14.4,0.06,3,0.14
07-11,10.8,36.8,0.15,2,0.09
07-12,10.8,59.2,0.25,3,0.14
07-13,10.8,59.2,0.25,1,0.05
07-14,10.8,25.6,0.11,0,0.0
07-15,10.8,8.1,0.03,1,0.05
07-16,10.8,59.2,0.25,3,0.14
07-17,10.8,59.2,0.25,0,0.0
07-18,10.8,36.8,0.15,0,0.0
07-19,10.8,36.8,0.15,3,0.14
07-20,10.8,70.4,0.3,1,0.05
07-21,10.9,59.2,0.25,2,0.09
07-22,10.9,92.8,0.39,2,0.09
07-23,10.9,70.4,0.29,5,0.23
07-24,10.9,70.4,0.29,4,0.18
07-25,10.9,92.8,0.39,3,0.14
07-26,10.9,70.4,0.29,1,0.05
07-27,10.9,36.8,0.15,2,0.09
07-28,11.0,36.8,0.15,3,0.14
07-29,11.0,70.4,0.29,0,0.0
07-30,11.0,36.8,0.15,5,0.23
07-31,11.0,92.8,0.38,1,0.05
08-01,11.0,104.0,0.43,1,0.05
08-02,11.0,25.6,0.11,2,0.09
08-03,11.0,48.0,0.2,5,0.23
08-04,11.0,59.2,0.24,3,0.14
08-05,11.0,48.0,0.2,3,0.14
08-06,11.1,48.0,0.2,2,0.09
08-07,11.1,70.4,0.29,2,0.09
08-08,11.1,59.2,0.24,1,0.05
08-09,11.1,25.6,0.1,2,0.09
08-10,11.1,36.8,0.15,1,0.05
08-11,11.2,70.4,0.29,2,0.09
08-12,11.2,36.8,0.15,3,0.14
08-13,11.2,59.2,0.24,1,0.05
08-14,11.2,59.2,0.24,3,0.14
08-15,11.2,48.0,0.19,4,0.18
08-16,11.2,81.6,0.33,3,0.14
08-17,11.2,70.4,0.29,1,0.05
08-18,11.3,8.1,0.03,2,0.09
08-19,11.3,36.8,0.15,2,0.09
08-20,11.3,25.6,0.1,1,0.05
08-21,11.3,25.6,0.1,2,0.09
08-22,11.3,14.4,0.06,2,0.09
08-23,11.4,25.6,0.1,2,0.09
08-24,11.4,48.0,0.19,4,0.18
08-25,11.4,59.2,0.24,4,0.18
08-26,11.4,70.4,0.28,3,0.14
08-27,11.4,48.0,0.19,3,0.14
08-28,11.4,25.6,0.1,2,0.09
08-29,11.4,48.0,0.19,1,0.05
08-30,11.5,8.1,0.03,2,0.09
08-31,11.5,14.4,0.06,0,0.0
09-01,11.5,6.3,0.02,2,0.09
09-02,11.5,48.0,0.19,2,0.09
09-03,11.6,59.2,0.23,2,0.09
09-04,11.6,48.0,0.19,1,0.05
09-05,11.6,8.1,0.03,3,0.14
09-06,11.6,36.8,0.14,3,0.14
09-07,11.6,36.8,0.14,3,0.14
09-08,11.6,48.0,0.19,3,0.14
09-09,11.6,59.2,0.23,3,0.14
09-10,11.7,25.6,0.1,2,0.09
09-11,11.7,36.8,0.14,1,0.05
09-12,11.7,14.4,0.06,2,0.09
09-13,11.7,48.0,0.19,0,0.0
09-14,11.8,14.4,0.06,0,0.0
09-15,11.8,14.4,0.06,4,0.18
09-16,11.8,92.8,0.36,2,0.09
09-17,11.8,48.0,0.18,3,0.14
09-18,11.8,70.4,0.27,2,0.09
09-19,11.8,25.6,0.1,2,0.09
09-20,11.8,14.4,0.06,3,0.14
09-21,11.9,14.4,0.06,1,0.05
09-22,11.9,59.2,0.23,2,0.09
09-23,11.9,36.8,0.14,2,0.09
09-24,11.9,70.4,0.27,3,0.14
09-25,12.0,36.8,0.14,1,0.05
09-26,12.0,25.6,0.1,3,0.14
09-27,12.0,48.0,0.18,3,0.14
09-28,12.0,48.0,0.18,4,0.18
09-29,12.0,81.6,0.31,4,0.18
09-30,12.0,81.6,0.31,5,0.23
10-01,12.1,70.4,0.26,1,0.05
10-02,12.1,104.0,0.39,1,0.05
10-03,12.1,25.6,0.1,2,0.09
10-04,12.1,59.2,0.22,4,0.18
10-05,12.1,70.4,0.26,2,0.09
10-06,12.2,92.8,0.35,6,0.27
10-07,12.2,126.2,0.47,5,0.23
10-08,12.2,115.1,0.43,3,0.14
10-09,12.2,81.6,0.3,4,0.18
10-10,12.2,81.6,0.3,2,0.09
10-11,12.2,81.6,0.3,3,0.14
10-12,12.3,104.0,0.38,6,0.27
10-13,12.3,59.2,0.22,4,0.18
10-14,12.3,81.6,0.3,2,0.09
10-15,12.3,59.2,0.22,2,0.09
10-16,12.3,70.4,0.26,5,0.23
10-17,12.4,137.4,0.5,5,0.23
10-18,12.4,81.6,0.3,5,0.23
10-19,12.4,92.8,0.34,4,0.18
10-20,12.4,92.8,0.34,6,0.27
10-21,12.4,92.8,0.34,4,0.18
