Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,WASP-107,,,,HAT-P-11,191939,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,SupercalifragilisticexpialidociousX,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X,Supercalifragilisticexpialidocious*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,TOI-1670,Kepler-10,,,,,,,,,,,,,,,,,HIP1532,,,,,,,,,,,,,,,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,51Pegasi,,,,,,,,,,,,HIP1532,,,,,,,,,,,,,,,,,,,,,,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,,,,,,,,,,,,,,,,51Pegasi,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,,,,,,,,,,,,,,,,51Pegasi,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,HIP1532,,,,,,,,,,,51Pegasi,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
