axis,value,time_s,n_starts,obj_best,obj_mean,obj_std,sched_best,wall_mean,reps
time_limit_s,2.0,2,1,545.9372223623585,542.6839945757914,1.878251938309699,57,2.0013460516929626,4
time_limit_s,5.0,5,1,562.0649262359182,547.8003298063704,8.42389970819611,58,5.001158654689789,4
time_limit_s,10.0,10,1,563.3285820809588,554.2068443709557,8.98634819971309,58,10.000637173652649,4
time_limit_s,20.0,20,1,564.5030230177433,563.4429845407748,0.7469080516770843,58,20.000568389892578,4
time_limit_s,40.0,40,1,564.5030230177433,564.0445051933549,0.2867340928192149,58,40.00062429904938,4
n_starts,1.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.002438624699911,3
n_starts,3.0,10,3,563.338748331867,562.4748398740816,0.6111405485999443,58,11.56625493367513,3
n_starts,5.0,10,5,563.338748331867,562.4748398740816,0.6111405485999443,58,11.637067635854086,3
n_starts,10.0,10,10,563.9402103786146,563.378380706724,0.400850167514582,58,11.85374649365743,3
nb_max,10.0,10,1,563.0683174240565,562.2033611034625,1.0701580907057044,58,10.000694115956625,3
nb_max,15.0,10,1,563.4362454449101,562.3226136378399,0.814715034825248,58,10.00243910153707,3
nb_max,25.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.00086522102356,3
nb_max,40.0,10,1,546.8564920099344,543.351887545713,2.478129582027583,57,10.001968463261923,3
beta,1.0,10,1,561.997713083149,557.8564072271863,5.6627280450623365,58,10.000648021697998,3
beta,2.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.001121282577515,3
beta,4.0,10,1,541.5995853136023,541.5995853136023,0.0,56,10.001147905985514,3
max_ants,5.0,10,1,562.0649262359182,554.7513974361085,9.319217023037623,58,10.00111492474874,3
max_ants,10.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.00091290473938,3
max_ants,20.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.000808636347452,3
swap_window,2.0,10,1,561.843096885812,554.7352207614507,5.240996820585449,58,10.001253048578898,3
swap_window,4.0,10,1,563.3285820809588,558.40926405674,6.085333222328534,58,10.000958601633707,3
swap_window,8.0,10,1,562.8446643441415,550.2169571353182,9.111412327526626,58,10.00120242436727,3
