unique_id,program_code,starname,ra,dec,exptime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,weather_band,gaia_id,teff,jmag,gmag,pmra,pmdec,epoch
68018ea6c5c74adfcae219bb,2025A_U026,KIC 3629119,286.043958144,38.708769542,1155,1,2,60,1,1,0.0,,DR3_2100026978099176576,5736,12.901,14.02911,15.073,-8.139,J2000
68018ea6c5c74adfcae219bc,2025A_U026,Kepler-371,292.3264639055,38.657575771,926,1,2,60,1,1,0.0,,DR3_2052702348375966208,6000,12.701,13.787086,3.56,-7.358,J2000
68018ea6c5c74adfcae219bd,2025A_U026,KIC 11296205,291.4547424662,49.043283827,1835,1,2,60,1,1,0.0,,DR3_2129735266885960320,6058,13.384,14.380402,3.873,-9.205,J2000
68018ea6c5c74adfcae219be,2025A_U026,KIC 5888187,295.2729757876,41.168265751,612,1,2,60,1,1,0.0,,DR3_2076692145909566848,5098,12.303,13.601384,-10.093,-9.376,J2000
68018ea6c5c74adfcae219c5,2025A_U026,Kepler-439,280.8015560662,44.03396402,1762,1,2,60,1,1,0.0,,DR3_2117331813650826624,5545,13.344,14.533859,-6.225,2.153,J2000
68018ea6c5c74adfcae219bf,2025A_U026,KIC 9650579,292.4120930429,46.363878984,1954,1,2,60,1,1,0.0,,DR3_2128258657130718848,5421,13.648,14.887768,1.241,-0.122,J2000
68018ea6c5c74adfcae219c1,2025A_U026,KIC 8120820,298.7000300559,43.976484105,1663,1,2,60,1,1,0.0,,DR3_2079006136847601920,4921,13.16,14.756722,15.113,24.112,J2000
68018ea6c5c74adfcae219c2,2025A_U026,KIC 8880317,289.9219913743,45.103955421,923,1,2,60,1,1,0.0,,DR3_2127052870831611648,6138,12.686,13.664234,-0.919,7.063,J2000
68018ea6c5c74adfcae219c3,2025A_U026,KIC 4446859,285.6082369852,39.579297165,1033,1,2,60,1,1,0.0,,DR3_2100286462843094016,6091,12.71,13.830795,4.941,-5.694,J2000
68018ea6c5c74adfcae219c4,2025A_U026,KIC 4478142,295.1868277612,39.575676846,1449,1,2,60,1,1,0.0,,DR3_2076246190868032000,5526,13.03,14.23536,2.079,-0.576,J2000
68018ea6c5c74adfcae219d1,2025A_U026,KIC 11145391,295.4768700873,48.765072639,1824,1,2,60,1,1,0.0,,DR3_2134736429885327488,5432,13.356,14.664414,2.998,-1.714,J2000
68018ea6c5c74adfcae219d0,2025A_U026,Kepler-186,298.6527229781,43.9550072,1976,1,2,60,1,1,0.0,,DR3_2079000330051813504,4023,12.473,14.583239,2.171,-4.363,J2000
68018ea6c5c74adfcae219ce,2025A_U026,KIC 10253977,281.8701485684,47.394980708,1381,1,2,60,1,1,0.0,,DR3_2119565368441651968,5141,13.035,14.359309,5.564,8.704,J2000
68018ea6c5c74adfcae219cd,2025A_U026,KIC 10659624,289.3664942116,47.923844036,736,1,2,60,1,1,0.0,,DR3_2127947014302752512,5883,12.419,13.427059,-0.706,-9.628,J2000
68018ea6c5c74adfcae219cc,2025A_U026,Kepler-174,287.439177924,43.83208316,1300,1,2,60,1,1,0.0,,DR3_2106008493152187392,4918,12.791,14.274101,-38.959,-18.117,J2000
68018ea6c5c74adfcae219ca,2025A_U026,KIC 7829836,294.3046397051,43.509688029,1632,1,2,60,1,1,0.0,,DR3_2078192189003227008,5798,13.465,14.540624,-2.77,-2.025,J2000
68018ea6c5c74adfcae219c9,2025A_U026,Kepler-1126,285.6920025041,45.689383803,1192,1,2,60,1,1,0.0,,DR3_2106496607595412480,5814,12.966,14.008748,-7.712,3.609,J2000
68018ea6c5c74adfcae219c8,2025A_U026,KIC 6428794,286.6088608277,41.889344047,1549,1,2,60,1,1,0.0,,DR3_2103936497850300928,5216,13.232,14.537239,0.284,-10.555,J2000
68018ea6c5c74adfcae219c0,2025A_U026,KIC 8555967,290.3031507277,44.678073488,2206,1,2,60,1,1,0.0,,DR3_2126987587327676416,5772,13.468,14.577593,5.07,-7.529,J2000
68018ea6c5c74adfcae219c6,2025A_U026,KIC 8608544,284.1921423509,44.76211313,776,1,2,60,1,1,0.0,,DR3_2106725683970769792,6290,12.984,13.899189,-17.149,-19.05,J2000
68018ea6c5c74adfcae21a9f,2025A_U261,HD 219623,349.1762648346,53.213474818,90,3,18,1,1,1,0.0,,DR3_1995681125599758592,6059,4.871,5.446386,112.461,-236.554,J2000
