starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
102956,LIBR,177.843695737286,57.6406559991897,7.6,4944,6.2,-12.0,-17.53,Gaia DR3 845335158256083584,158,1,1,1,1,0,1,7.6
EPIC201736247,LIBR,178.11056721721100,4.254661939207740,14.4,4915,13.1,-49.24,-21.24,Gaia DR3 3896271842760486272,3600,1,1,1,1,0,1,14.4
EPIC201384232,LIBR,178.19211075064000,-1.1984407165032500,12.5,5659,11.4,-32.25,7.33,Gaia DR3 3794479262419500160,3600,1,1,1,1,0,1,12.5
103417,LIBR,178.66435821480800,54.233307153046900,8.6,5594,7.5,1.41,-127.96,Gaia DR3 840705424030433536,412,1,1,1,1,0,1,8.6
103828,LIBR,179.3431696965100,58.29968257247820,8.3,5711,7.2,-101.39,-28.84,Gaia DR3 845471463339146496,298,1,1,1,1,0,1,8.3
103813,LIBR,179.35706353925600,26.761580243313200,7.2,5182,5.7,10.11,-148.55,Gaia DR3 4007221843131949056,104,1,1,1,1,0,1,7.2
103847,LIBR,179.3687202332950,19.984141954227100,7.8,5092,6.6,-387.04,53.88,Gaia DR3 3975266461816068864,150,1,1,1,1,0,1,7.8
103890,LIBR,179.4422892089480,-8.27561884050213,7.9,6100,7.0,-34.5,-76.56,Gaia DR3 3594215344111465344,195,1,1,1,1,0,1,7.9
104263,LIBR,180.11391920410100,-4.549459336176390,8.0,5415,6.9,-108.59,-146.19,Gaia DR3 3600638179941831936,244,1,1,1,1,0,1,8.0
104389,LIBR,180.3151515176530,79.08736704123500,8.3,5879,7.4,-68.42,-13.33,Gaia DR3 1717515266567894912,304,1,1,1,1,0,1,8.3
104437,LIBR,180.42014226049500,39.586279433249600,8.5,5686,7.4,19.66,-69.47,Gaia DR3 4034726367018683520,346,1,1,1,1,0,1,8.5
104588,LIBR,180.6877939539020,31.509957601236200,8.5,5680,7.5,5.21,-66.68,Gaia DR3 4026466281619497728,372,1,1,1,1,0,1,8.5
104860,LIBR,181.13991291135700,66.33681655718990,7.8,5873,6.8,-57.11,51.67,Gaia DR3 1681330368961561984,176,1,1,1,1,0,1,7.8
238069,LIBR,181.3974777654820,56.97852447546770,9.0,5756,8.0,-41.87,-69.47,Gaia DR3 1575435583752131712,572,1,1,1,1,0,1,9.0
105279,LIBR,181.81651458339200,10.531046994612100,8.3,5754,7.3,-34.61,-74.4,Gaia DR3 3906615120441059968,284,1,1,1,1,0,1,8.3
105546,LIBR,182.2610727688970,59.0177895637412,8.4,5122,7.2,-30.94,-68.43,Gaia DR3 1575933490721033728,345,1,1,1,1,0,1,8.4
106088,LIBR,183.10274384885800,19.800675709051500,8.2,5391,7.0,6.96,-77.83,Gaia DR3 3951357650189291392,278,1,1,1,1,0,1,8.2
106279,LIBR,183.3943503373880,30.562388575152500,8.1,5078,6.7,0.58,-15.35,Gaia DR3 4013690029519735808,280,1,1,1,1,0,1,8.1
