start,stop
2018-11-16T04:32:09.038,2018-11-16T15:41:19.530
2018-11-17T04:32:00.926,2018-11-17T15:41:50.180
2018-11-18T04:31:54.079,2018-11-18T15:42:21.192
2018-11-19T04:31:48.496,2018-11-19T15:42:52.552
2018-11-20T04:31:44.181,2018-11-20T15:43:24.247
2018-11-21T04:31:41.134,2018-11-21T15:43:56.266
2018-11-22T04:31:39.355,2018-11-22T15:44:28.593
2018-11-23T04:31:38.844,2018-11-23T15:45:01.217
2018-11-24T04:31:39.601,2018-11-24T15:45:34.122
2018-11-25T04:31:41.624,2018-11-25T15:46:07.294
2018-11-26T04:31:44.910,2018-11-26T15:46:40.716
2018-11-27T04:31:49.456,2018-11-27T15:47:14.399
2018-11-28T04:31:55.255,2018-11-28T15:47:48.396
2018-11-29T04:32:02.299,2018-11-29T15:48:22.584
2018-11-30T04:32:10.580,2018-11-30T15:48:56.938
2018-12-01T04:32:20.083,2018-12-01T15:49:31.431
2018-12-02T04:32:30.794,2018-12-02T15:50:06.034
2018-12-03T04:32:42.696,2018-12-03T15:50:40.715
2018-12-04T04:32:55.770,2018-12-04T15:51:15.444
2018-12-05T04:33:09.994,2018-12-05T15:51:50.185
2018-12-06T04:33:25.346,2018-12-06T15:52:24.903
2018-12-07T04:33:41.801,2018-12-07T15:52:59.565
2018-12-08T04:33:59.335,2018-12-08T15:53:34.132
2018-12-09T04:34:17.921,2018-12-09T15:54:08.568
2018-12-10T04:34:37.532,2018-12-10T15:54:42.837
2018-12-11T04:34:58.142,2018-12-11T15:55:16.902
2018-12-12T04:35:19.721,2018-12-12T15:55:50.727
2018-12-13T04:35:42.241,2018-12-13T15:56:24.274
2018-12-14T04:36:05.674,2018-12-14T15:56:57.554
2018-12-15T04:36:29.989,2018-12-15T15:57:30.578
2018-12-16T04:36:55.158,2018-12-16T15:58:03.217
2018-12-17T04:37:21.149,2018-12-17T15:58:35.433
2018-12-18T04:37:47.933,2018-12-18T15:59:07.194
2018-12-19T04:38:15.479,2018-12-19T15:59:38.466
2018-12-20T04:38:43.757,2018-12-20T16:00:09.217
2018-12-21T04:39:12.737,2018-12-21T16:00:39.416
2018-12-22T04:39:42.391,2018-12-22T16:01:09.036
2018-12-23T04:40:12.689,2018-12-23T16:01:38.046
2018-12-24T04:40:43.485,2018-12-24T16:02:06.419
2018-12-25T04:41:14.849,2018-12-25T16:02:34.127
2018-12-26T04:41:46.768,2018-12-26T16:03:01.143
2018-12-27T04:42:19.211,2018-12-27T16:03:27.437
2018-12-28T04:42:52.147,2018-12-28T16:03:52.981
2018-12-29T04:43:25.543,2018-12-29T16:04:17.743
2018-12-30T04:43:59.364,2018-12-30T16:04:41.695
2018-12-31T04:44:33.576,2018-12-31T16:05:04.804
2019-01-01T04:45:08.142,2019-01-01T16:05:27.042
2019-01-02T04:45:43.024,2019-01-02T16:05:48.377
2019-01-03T04:46:18.186,2019-01-03T16:06:08.779
2019-01-04T04:46:53.590,2019-01-04T16:06:28.226
2019-01-05T04:47:29.199,2019-01-05T16:06:46.751
2019-01-06T04:48:04.975,2019-01-06T16:07:04.253
2019-01-07T04:48:40.882,2019-01-07T16:07:20.706
2019-01-08T04:49:16.884,2019-01-08T16:07:36.083
2019-01-09T04:49:52.947,2019-01-09T16:07:50.361
2019-01-10T04:50:28.902,2019-01-10T16:08:03.519
2019-01-11T04:51:04.839,2019-01-11T16:08:15.535
2019-01-12T04:51:40.740,2019-01-12T16:08:26.391
2019-01-13T04:52:16.573,2019-01-13T16:08:36.069
2019-01-14T04:52:52.311,2019-01-14T16:08:44.554
2019-01-15T04:53:27.925,2019-01-15T16:08:51.832
2019-01-16T04:54:03.390,2019-01-16T16:08:57.892
2019-01-17T04:54:38.682,2019-01-17T16:09:02.725
2019-01-18T04:55:13.779,2019-01-18T16:09:06.323
2019-01-19T04:55:48.660,2019-01-19T16:09:08.683
2019-01-20T04:56:23.308,2019-01-20T16:09:09.800
2019-01-21T04:56:57.707,2019-01-21T16:09:09.676
2019-01-22T04:57:31.843,2019-01-22T16:09:08.310
2019-01-23T04:58:05.705,2019-01-23T16:09:05.705
2019-01-24T04:58:39.280,2019-01-24T16:09:01.862
2019-01-25T04:59:12.557,2019-01-25T16:08:56.784
2019-01-26T04:59:45.491,2019-01-26T16:08:50.471
2019-01-27T05:00:18.026,2019-01-27T16:08:42.927
2019-01-28T05:00:50.231,2019-01-28T16:08:34.152
2019-01-29T05:01:22.092,2019-01-29T16:08:24.150
2019-01-30T05:01:53.598,2019-01-30T16:08:12.921
2019-01-31T05:02:24.737,2019-01-31T16:08:00.470
