start,stop
2018-08-01T05:50:07.801,2018-08-01T15:06:33.863
2018-08-02T05:49:32.991,2018-08-02T15:07:00.656
2018-08-03T05:48:57.174,2018-08-03T15:07:27.261
2018-08-04T05:48:20.369,2018-08-04T15:07:53.664
2018-08-05T05:47:42.691,2018-08-05T15:08:19.852
2018-08-06T05:47:04.259,2018-08-06T15:08:45.674
2018-08-07T05:46:24.900,2018-08-07T15:09:11.203
2018-08-08T05:45:44.633,2018-08-08T15:09:36.480
2018-08-09T05:45:03.476,2018-08-09T15:10:01.491
2018-08-10T05:44:21.448,2018-08-10T15:10:26.220
2018-08-11T05:43:38.565,2018-08-11T15:10:50.650
2018-08-12T05:42:54.844,2018-08-12T15:11:14.768
2018-08-13T05:42:10.302,2018-08-13T15:11:38.561
2018-08-14T05:41:24.957,2018-08-14T15:12:02.015
2018-08-15T05:40:38.830,2018-08-15T15:12:25.123
2018-08-16T05:39:51.940,2018-08-16T15:12:47.876
2018-08-17T05:39:04.312,2018-08-17T15:13:10.270
2018-08-18T05:38:15.969,2018-08-18T15:13:32.301
2018-08-19T05:37:27.213,2018-08-19T15:13:53.967
2018-08-20T05:36:37.792,2018-08-20T15:14:15.267
2018-08-21T05:35:47.729,2018-08-21T15:14:36.203
2018-08-22T05:34:57.051,2018-08-22T15:14:56.776
2018-08-23T05:34:05.787,2018-08-23T15:15:16.991
2018-08-24T05:33:13.964,2018-08-24T15:15:36.851
2018-08-25T05:32:21.610,2018-08-25T15:15:56.363
2018-08-26T05:31:28.755,2018-08-26T15:16:15.533
2018-08-27T05:30:35.428,2018-08-27T15:16:34.369
2018-08-28T05:29:41.657,2018-08-28T15:16:52.880
2018-08-29T05:28:47.472,2018-08-29T15:17:11.074
2018-08-30T05:27:53.081,2018-08-30T15:17:28.962
2018-08-31T05:26:58.378,2018-08-31T15:17:46.553
2018-09-01T05:26:03.340,2018-09-01T15:18:03.859
2018-09-02T05:25:07.996,2018-09-02T15:18:20.837
2018-09-03T05:24:12.375,2018-09-03T15:18:37.541
2018-09-04T05:23:16.504,2018-09-04T15:18:53.994
2018-09-05T05:22:20.410,2018-09-05T15:19:10.204
2018-09-06T05:21:24.121,2018-09-06T15:19:26.178
2018-09-07T05:20:27.660,2018-09-07T15:19:41.922
2018-09-08T05:19:31.053,2018-09-08T15:19:57.445
2018-09-09T05:18:34.382,2018-09-09T15:20:12.750
2018-09-10T05:17:37.706,2018-09-10T15:20:27.844
2018-09-11T05:16:40.941,2018-09-11T15:20:42.734
2018-09-12T05:15:44.111,2018-09-12T15:20:57.427
2018-09-13T05:14:47.240,2018-09-13T15:21:11.934
2018-09-14T05:13:50.354,2018-09-14T15:21:26.262
2018-09-15T05:12:53.478,2018-09-15T15:21:40.426
2018-09-16T05:11:56.639,2018-09-16T15:21:54.437
2018-09-17T05:10:59.866,2018-09-17T15:22:08.309
2018-09-18T05:10:03.185,2018-09-18T15:22:22.057
2018-09-19T05:09:06.639,2018-09-19T15:22:35.696
2018-09-20T05:08:10.313,2018-09-20T15:22:49.243
2018-09-21T05:07:14.156,2018-09-21T15:23:02.714
2018-09-22T05:06:18.195,2018-09-22T15:23:16.128
2018-09-23T05:05:22.460,2018-09-23T15:23:29.502
2018-09-24T05:04:26.982,2018-09-24T15:23:42.856
2018-09-25T05:03:31.789,2018-09-25T15:23:56.207
2018-09-26T05:02:36.911,2018-09-26T15:24:09.577
2018-09-27T05:01:42.379,2018-09-27T15:24:22.985
2018-09-28T05:00:48.221,2018-09-28T15:24:36.451
2018-09-29T04:59:54.467,2018-09-29T15:24:49.995
2018-09-30T04:59:01.159,2018-09-30T15:25:03.635
2018-10-01T04:58:08.310,2018-10-01T15:25:17.390
2018-10-02T04:57:15.941,2018-10-02T15:25:31.277
2018-10-03T04:56:24.079,2018-10-03T15:25:45.313
2018-10-04T04:55:32.749,2018-10-04T15:25:59.512
2018-10-05T04:54:41.976,2018-10-05T15:26:13.888
2018-10-06T04:53:51.784,2018-10-06T15:26:28.453
2018-10-07T04:53:02.196,2018-10-07T15:26:43.218
2018-10-08T04:52:13.233,2018-10-08T15:26:58.193
2018-10-09T04:51:24.916,2018-10-09T15:27:13.389
2018-10-10T04:50:37.265,2018-10-10T15:27:28.815
2018-10-11T04:49:50.296,2018-10-11T15:27:44.482
2018-10-12T04:49:04.000,2018-10-12T15:28:00.410
2018-10-13T04:48:18.427,2018-10-13T15:28:16.605
2018-10-14T04:47:33.597,2018-10-14T15:28:33.076
2018-10-15T04:46:49.535,2018-10-15T15:28:49.833
2018-10-16T04:46:06.263,2018-10-16T15:29:06.890
2018-10-17T04:45:23.803,2018-10-17T15:29:24.259
2018-10-18T04:44:42.179,2018-10-18T15:29:41.951
2018-10-19T04:44:01.413,2018-10-19T15:29:59.980
2018-10-20T04:43:21.530,2018-10-20T15:30:18.358
2018-10-21T04:42:42.551,2018-10-21T15:30:37.099
2018-10-22T04:42:04.499,2018-10-22T15:30:56.214
2018-10-23T04:41:27.399,2018-10-23T15:31:15.718
2018-10-24T04:40:51.272,2018-10-24T15:31:35.623
2018-10-25T04:40:16.142,2018-10-25T15:31:55.943
2018-10-26T04:39:41.962,2018-10-26T15:32:16.689
2018-10-27T04:39:08.821,2018-10-27T15:32:37.875
2018-10-28T04:38:36.741,2018-10-28T15:32:59.510
2018-10-29T04:38:05.743,2018-10-29T15:33:21.605
2018-10-30T04:37:35.848,2018-10-30T15:33:44.168
2018-10-31T04:37:07.074,2018-10-31T15:34:07.205
2018-11-01T04:36:39.439,2018-11-01T15:34:30.720
2018-11-02T04:36:12.959,2018-11-02T15:34:54.716
2018-11-03T04:35:47.648,2018-11-03T15:35:19.193
2018-11-04T04:35:23.517,2018-11-04T15:35:44.150
2018-11-05T04:35:00.580,2018-11-05T15:36:09.583
2018-11-06T04:34:38.843,2018-11-06T15:36:35.487
2018-11-07T04:34:18.317,2018-11-07T15:37:01.857
2018-11-08T04:33:59.007,2018-11-08T15:37:28.690
2018-11-09T04:33:40.921,2018-11-09T15:37:56.052
2018-11-10T04:33:24.064,2018-11-10T15:38:23.860
2018-11-11T04:33:08.442,2018-11-11T15:38:52.104
2018-11-12T04:32:54.061,2018-11-12T15:39:20.776
2018-11-13T04:32:40.926,2018-11-13T15:39:49.865
2018-11-14T04:32:29.041,2018-11-14T15:40:19.361
2018-11-15T04:32:18.410,2018-11-15T15:40:49.253
